"Supplemental Table 5. Predictive performance (AUROCs) for each type of health event in each database with different augmentation ratios, under the overall health event prediction evaluation.",,,,,,,,
Fold,Proportion,Accuracy,Sensitivity,Specificity,F1,AUC,Type,DS
1,real+300%Syn,0.75,0.5,1,0.666666667,1,calving,D3
1,all Syn,0.75,0.5,1,0.666666667,0.5,calving,D3
2,all real(baseline),1,0.95,1,1,1,calving,D3
2,real+50%Syn,1,1,1,1,1,calving,D3
2,real+100%Syn,1,1,1,1,1,calving,D3
2,real+150%Syn,1,1,1,1,1,calving,D3
2,real+200%Syn,1,1,1,1,1,calving,D3
2,real+300%Syn,1,1,1,1,1,calving,D3
2,all Syn,1,1,1,1,1,calving,D3
3,all real(baseline),0.5,0.45,0.5,0.5,0.5,calving,D3
3,real+50%Syn,0.5,0.5,0.5,0.5,0.5,calving,D3
3,real+100%Syn,0.5,0.5,0.5,0.5,0.5,calving,D3
3,real+150%Syn,0.5,0.5,0.5,0.5,0.5,calving,D3
3,real+200%Syn,0.5,0.5,0.5,0.5,0.75,calving,D3
3,real+300%Syn,0.75,0.5,1,0.666666667,0.75,calving,D3
3,all Syn,0.75,0.5,1,0.666666667,0.5,calving,D3
1,all real(baseline),0.722222222,0.616666667,0.777777778,0.705882353,0.888888889,estrus,D3
1,real+50%Syn,0.777777778,0.888888889,0.666666667,0.8,0.87654321,estrus,D3
1,real+100%Syn,0.777777778,0.777777778,0.777777778,0.777777778,0.827160494,estrus,D3
1,real+150%Syn,0.777777778,1,0.555555556,0.818181818,0.975308642,estrus,D3
1,real+200%Syn,0.888888889,1,0.777777778,0.9,0.987654321,estrus,D3
1,real+300%Syn,0.833333333,1,0.666666667,0.857142857,0.987654321,estrus,D3
1,all Syn,0.5,0,1,0,0.75308642,estrus,D3
2,all real(baseline),0.777777778,0.505555556,1,0.714285714,0.827160494,estrus,D3
2,real+50%Syn,0.944444444,1,0.888888889,0.947368421,0.987654321,estrus,D3
2,real+100%Syn,0.944444444,0.888888889,1,0.941176471,1,estrus,D3
2,real+150%Syn,0.722222222,0.444444444,1,0.615384615,0.938271605,estrus,D3
2,real+200%Syn,0.944444444,0.888888889,1,0.941176471,1,estrus,D3
2,real+300%Syn,0.944444444,0.888888889,1,0.941176471,1,estrus,D3
2,all Syn,0.888888889,0.888888889,0.888888889,0.888888889,0.962962963,estrus,D3
3,all real(baseline),0.833333333,0.616666667,1,0.8,0.975308642,estrus,D3
3,real+50%Syn,0.833333333,0.666666667,1,0.8,0.962962963,estrus,D3
3,real+100%Syn,0.833333333,0.666666667,1,0.8,0.839506173,estrus,D3
3,real+150%Syn,0.833333333,0.666666667,1,0.8,0.913580247,estrus,D3
3,real+200%Syn,0.611111111,0.555555556,0.666666667,0.588235294,0.827160494,estrus,D3
3,real+300%Syn,0.833333333,0.666666667,1,0.8,0.864197531,estrus,D3
3,all Syn,0.5,0.111111111,0.888888889,0.181818182,0.592592593,estrus,D3
1,all real(baseline),0.625,0.5,0.75,0.571428571,0.5625,disease,D3
1,real+50%Syn,0.5,0.5,0.5,0.5,0.25,disease,D3
1,real+100%Syn,0.5,0.75,0.25,0.6,0.625,disease,D3
1,real+150%Syn,0.375,0.25,0.5,0.285714286,0.375,disease,D3
1,real+200%Syn,0.5,0.25,0.75,0.333333333,0.6875,disease,D3
1,real+300%Syn,0.375,0.25,0.5,0.285714286,0.25,disease,D3
1,all Syn,0.625,0.5,1,0.4,0.75,disease,D3
2,all real(baseline),0.5,0,1,0,0.4375,disease,D3
2,real+50%Syn,0.75,0.75,0.75,0.75,0.75,disease,D3
2,real+100%Syn,0.375,0,0.75,0,0.5,disease,D3
2,real+150%Syn,0.5,0.25,0.75,0.333333333,0.4375,disease,D3
2,real+200%Syn,0.75,0.5,1,0.666666667,0.8125,disease,D3
2,real+300%Syn,0.75,0.5,1,0.666666667,0.5,disease,D3
2,all Syn,0.75,0.75,1,0.666666667,0.5,disease,D3
3,all real(baseline),0.375,0.5,0.25,0.444444444,0.5,disease,D3
3,real+50%Syn,0.5,0.5,0.5,0.5,0.4375,disease,D3
3,real+100%Syn,0.5,0.75,0.25,0.6,0.4375,disease,D3
